country,rank,wins,losses
France,1,12,3
Russia,2,11,4
USA,3,11,4
Serbia,4,11,4
Brazil,5,10,5
Poland,6,10,5
Canada,7,8,7
Italy,8,8,7
Germany,9,7,8
Iran,10,7,8
Bulgaria,11,6,9
Japan,12,6,9
Australia,13,5,10
Argentina,14,4,11
China,15,3,12
Korea,16,1,14
